user, item
1, 2687
1, 2687
1, 239
1, 2709
1, 239
1, 1
1, 595
1, 1907
1, 661
1, 595
1, 2876
1, 392
1, 313
1, 1
1, 364
1, 588
1, 588
1, 588
1, 2618
1, 588
1, 588
1, 588
1, 783
1, 588
1, 2084
1, 1381
1, 595
1, 364
1, 364
1, 586
1, 2089
1, 1
1, 1080
1, 588
1, 1
1, 595
1, 2709
1, 1566
1, 3000
1, 2085
1, 588
1, 2083
1, 313
1, 588
1, 2083
1, 551
1, 3397
1, 1023
1, 364
1, 2081
1, 1028
2, 1438
2, 315
2, 315
2, 1544
2, 1544
2, 648
2, 3020
2, 494
2, 494
2, 533
2, 204
2, 1586
2, 648
2, 292
2, 145
2, 145
2, 3624
2, 70
2, 2540
2, 1616
2, 1391
2, 1527
2, 3256
2, 1385
2, 2812
2, 648
2, 3165
2, 1379
2, 1432
2, 3257
2, 1379
2, 208
2, 3740
2, 1616
2, 1792
2, 1616
2, 1391
2, 1391
2, 1391
2, 89
2, 1792
2, 2023
2, 533
2, 315
2, 42
2, 1586
2, 379
2, 1544
2, 517
2, 2582
2, 2807
2, 2322
2, 168
2, 173
2, 173
2, 173
2, 2531
2, 3802
2, 379
2, 2448
2, 173
2, 1591
2, 160
2, 1779
2, 2986
2, 737
2, 737
2, 1591
2, 1591
2, 1544
2, 1544
2, 1499
2, 160
2, 1882
2, 2807
2, 2807
2, 2807
2, 2807
2, 1681
2, 3661
2, 292
2, 2571
2, 1591
2, 1591
2, 519
2, 3354
2, 1580
2, 1580
2, 1527
2, 1580
2, 648
2, 648
2, 648
2, 551
2, 1566
2, 1580
2, 480
2, 480
2, 480
2, 3178
2, 2571
2, 474
2, 379
2, 1676
2, 589
2, 2571
2, 2058
2, 2571
2, 2571
2, 349
2, 1527
2, 1527
2, 1580
2, 316
2, 442
2, 1690
2, 2393
2, 1676
2, 519
2, 780
2, 405
2, 76
2, 316
2, 316
2, 2600
2, 2701
2, 3889
3, 3302
3, 2361
3, 1966
3, 1777
3, 2375
3, 433
3, 1923
3, 2108
3, 708
3, 2502
3, 2035
3, 1513
3, 2567
3, 3253
3, 1500
3, 1
3, 3874
3, 1777
3, 2463
3, 2518
3, 2111
3, 2759
3, 2355
3, 1494
3, 141
3, 2482
3, 3210
3, 1500
3, 357
3, 1663
3, 2915
3, 2918
3, 2248
3, 2797
3, 3210
3, 2795
3, 3448
3, 2111
3, 3087
3, 1663
3, 2371
3, 1297
3, 2371
3, 2134
3, 2463
3, 1395
3, 1395
3, 2245
3, 2518
